,VenueId,VenueName,VenueLatitude,VenueLongitude,CategoryId,VenueAddress,City,HierarchyLevel,CategoryName,Level1,Level2,Level3,Level4,Level5,MeshBlockCode,CityCode,StateCode,State,LgaCode,LgaName,Key,LgaGroup,VenueCount,EgmCount,TotalNgr,TotalNgrPerAdult,MachinesPer1000Adult,AvgNgrPerMachine,AggregateNgrPerLgaStr,AverageNgrPerVenueStr,TotalNgrPerAdultStr,AvgNgrPerMachineStr,RankTotalNgr,RankTotalNgrPerAdult,RankEgmsPer1000Adult,RankAvgNgrPerMachine,Address,PostalCode,Latitude,Longitude,People,MedianAge,HouseholdIncome,Dwellings
1493,4c538380728920a1895e3181,Sandwich Plus,-34.831407,138.690383,4bf58dd8d48988d1c5941735,"63/976 North East Road, Modbury SA 5092, Australia",Modbury,2,Sandwich Place,Food,Sandwich Place,,,,40188841000,40891,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Modbury SA 5092, Australia",5092,-34.833333,138.683333,5244.0,37,"1,084","2,047"
1500,4cecd4778604a1cd46f3eec0,Subway,-34.90265828438939,138.65753289773627,4bf58dd8d48988d1c5941735,"172-176 Glynburn Rd, Tranmere SA 5073, Australia",Tranmere,2,Sandwich Place,Food,Sandwich Place,,,,40027202000,41455,4,South Australia,40910,Campbelltown (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Tranmere SA 5073, Australia",5073,-34.905,138.662,3757.0,39,"1,425","1,433"
1508,4cad3df336fa6dcb38c9e578,Subway,-34.790187,138.69217,4bf58dd8d48988d1c5941735,"Golden Grove Village Shopping Centre T76, The Golden Way, Golden Grove SA 5125, Australia",Golden Grove,2,Sandwich Place,Food,Sandwich Place,,,,40184101000,40511,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Golden Grove SA 5125, Australia",5125,-34.7838889,138.7061111,10237.0,42,"1,519","3,763"
1517,4f0fdb94e4b045626587aaa2,Paradise Fish 'n Chips,-34.871275534592954,138.67214094669117,4edd64a0c7ddd24ca188df1a,"703 Lower North East Rd, Paradise SA 5075, Australia",Paradise,2,Fish & Chips Shop,Food,Fish & Chips Shop,,,,40023650000,41090,4,South Australia,40910,Campbelltown (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Paradise SA 5075, Australia",5075,-34.872,138.676,6776.0,43,"1,192","2,582"
1528,4f712fd4e4b030300c2b1788,Chicken Jim,-34.770938873291016,138.7071075439453,4edd64a0c7ddd24ca188df1a,"Unit 1/1701 Golden Grove Rd, Greenwith SA 5125, Australia",Greenwith,2,Fish & Chips Shop,Food,Fish & Chips Shop,,,,40185520000,40532,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Greenwith SA 5125, Australia",5125,-34.766,138.715,8992.0,38,"1,622","3,224"
1529,55a1e131498e0dc8555a9db0,The Chicken Home,-34.773406982421875,138.728271484375,4edd64a0c7ddd24ca188df1a,"Shop 6 The Stables corner Golden Grove Road and Sandstock Boulevard, Golden Grove SA 5125, Australia",Golden Grove,2,Fish & Chips Shop,Food,Fish & Chips Shop,,,,40184101000,40511,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Golden Grove SA 5125, Australia",5125,-34.7838889,138.7061111,10237.0,42,"1,519","3,763"
1530,4f06abaee4b0803b66f10c91,Sunnybrook Chicken and seafood,-34.800025372303516,138.68638049936882,4edd64a0c7ddd24ca188df1a,"Unit 10/103 The Golden Way, Wynn Vale SA 5127, Australia",Wynn Vale,2,Fish & Chips Shop,Food,Fish & Chips Shop,,,,40185510000,41648,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Wynn Vale SA 5127, Australia",5127,-34.802,138.69,7756.0,41,"1,490","2,947"
1539,4ded594dc65bf34fc6d37031,La Bamba,-34.883157,138.652718,4bf58dd8d48988d1cb941735,"44 James St, Campbelltown SA 5074, Australia",Campbelltown,2,Food Truck,Food,Food Truck,,,,40027041000,40211,4,South Australia,40910,Campbelltown (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Campbelltown SA 5074, Australia",5074,-34.878,138.663,8152.0,41,"1,040","3,221"
1540,4ded59282271e7b4461cd4ea,La Souza,-34.883157,138.652718,4bf58dd8d48988d1cb941735,"44 James St, Campbelltown SA 5074, Australia",Campbelltown,2,Food Truck,Food,Food Truck,,,,40027041000,40211,4,South Australia,40910,Campbelltown (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Campbelltown SA 5074, Australia",5074,-34.878,138.663,8152.0,41,"1,040","3,221"
1558,5be7a79e7a0eff0025484923,The Bavarian,-34.830624,138.69214,4bf58dd8d48988d10d941735,"972 North East Road, Modbury SA 5092, Australia",Modbury,2,German Restaurant,Food,German Restaurant,,,,40188841000,40891,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Modbury SA 5092, Australia",5092,-34.833333,138.683333,5244.0,37,"1,084","2,047"
1560,4f34d474e4b055b6d9983c91,Dilli Haat,-34.882944,138.660845,4bf58dd8d48988d10f941735,"570 Lower North East Rd, Campbelltown SA 5074, Australia",Campbelltown,2,Indian Restaurant,Food,Indian Restaurant,,,,40027041000,40211,4,South Australia,40910,Campbelltown (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Campbelltown SA 5074, Australia",5074,-34.878,138.663,8152.0,41,"1,040","3,221"
1561,4c763658db52b1f7f3cc7adc,Curry Zone,-34.83157795081492,138.69050560322944,4bf58dd8d48988d10f941735,"995 North East Road, Modbury SA 5092, Australia",Modbury,2,Indian Restaurant,Food,Indian Restaurant,,,,40188841000,40891,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Modbury SA 5092, Australia",5092,-34.833333,138.683333,5244.0,37,"1,084","2,047"
1563,4cf220496c29236af3fe69a2,Beyond India,-34.82400309992778,138.68000237615425,4bf58dd8d48988d10f941735,"28 Dianthus Cres, Modbury North SA 5092, Australia",Modbury North,2,Indian Restaurant,Food,Indian Restaurant,,,,40180970000,40893,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Modbury North SA 5092, Australia",5092,-34.829,138.672,5626.0,39,"1,385","2,049"
1564,5459f241498e5e6a25691e75,Surya indian cuisine,-34.836948,138.6883,4bf58dd8d48988d10f941735,"93 Reservoir Rd, Modbury SA 5092, Australia",Modbury,2,Indian Restaurant,Food,Indian Restaurant,,,,40188841000,40891,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Modbury SA 5092, Australia",5092,-34.833333,138.683333,5244.0,37,"1,084","2,047"
1566,4c7cd9c87a856dcb8832e3a7,Chillies,-34.88837688479297,138.67428130087114,4bf58dd8d48988d10f941735,"145 Montacute Rd, Newton SA 5074, Australia",Newton,2,Indian Restaurant,Food,Indian Restaurant,,,,40023600000,41020,4,South Australia,40910,Campbelltown (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Newton SA 5074, Australia",5074,-34.880165,138.6815087,4788.0,41,"1,267","1,827"
1567,5bde9d2589e490002c5302aa,Curry Lounge Tranmere,-34.89756,138.65983,4bf58dd8d48988d10f941735,"16 Reid Ave, Tranmere SA 5073, Australia",Tranmere,2,Indian Restaurant,Food,Indian Restaurant,,,,40027202000,41455,4,South Australia,40910,Campbelltown (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Tranmere SA 5073, Australia",5073,-34.905,138.662,3757.0,39,"1,425","1,433"
1571,4c8a024d770fb60c2395cec3,Beyond India,-34.82746,138.67425,4bf58dd8d48988d10f941735,"108 Kelly Rd, Modbury North SA 5092, Australia",Modbury North,2,Indian Restaurant,Food,Indian Restaurant,,,,40180970000,40893,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Modbury North SA 5092, Australia",5092,-34.829,138.672,5626.0,39,"1,385","2,049"
1574,4f1698d3e4b0fd295380393c,Saffron Indian Restaurant,-34.82711218968489,138.69470940751376,4bf58dd8d48988d10f941735,"5/1007 North East Road, Ridgehaven SA 5097, Australia",Ridgehaven,2,Indian Restaurant,Food,Indian Restaurant,,,,40180990000,41244,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Ridgehaven SA 5097, Australia",5097,-34.822,138.704,4008.0,42,"1,112","1,660"
1610,4b9b398cf964a520e0fa35e3,Ruby Raja,-34.82206,138.73113,4bf58dd8d48988d10f941735,"1 Perseverance Rd, Tea Tree Gully SA 5091, Australia",Tea Tree Gully,2,Indian Restaurant,Food,Indian Restaurant,,,,40184060000,41418,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Tea Tree Gully SA 5091, Australia",5091,-34.826,138.726,3244.0,43,"1,389","1,260"
1611,4d1d9a850901721ee31e7aa5,Indian Brasserie,-34.7888,138.69613,4bf58dd8d48988d10f941735,"1 Aeolian Dr, Golden Grove SA 5125, Australia",Golden Grove,2,Indian Restaurant,Food,Indian Restaurant,,,,40184101000,40511,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Golden Grove SA 5125, Australia",5125,-34.7838889,138.7061111,10237.0,42,"1,519","3,763"
1612,5784becf498e0c74bdc99404,Kumars Indian Restaurant and Takeaway,-34.80226,138.71792,4bf58dd8d48988d10f941735,"325 Hancock Rd, Fairview Park SA 5126, Australia",Fairview Park,2,Indian Restaurant,Food,Indian Restaurant,,,,40184140000,40424,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Fairview Park SA 5126, Australia",5126,-34.7999009,138.7316925,3600.0,40,"1,525","1,319"
1616,5100cae1e4b01f95a8c2708b,JoJo's Juice Bar & Gallery,-34.88414764404297,138.66473388671875,4bf58dd8d48988d112941735,"27 Heading Ave, Campbelltown SA 5074, Australia",Campbelltown,2,Juice Bar,Food,Juice Bar,,,,40027041000,40211,4,South Australia,40910,Campbelltown (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Campbelltown SA 5074, Australia",5074,-34.878,138.663,8152.0,41,"1,040","3,221"
1617,4ce0a60e78ddf04db2a4a798,Boost Juice,-34.83146264297189,138.6910468212922,4bf58dd8d48988d112941735,"166/976 North East Road, Modbury SA 5092, Australia",Modbury,2,Juice Bar,Food,Juice Bar,,,,40188841000,40891,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Modbury SA 5092, Australia",5092,-34.833333,138.683333,5244.0,37,"1,084","2,047"
1622,4d963f3dedc941bd7989925c,Boost Juice,-34.790063,138.694426,4bf58dd8d48988d112941735,"Corner The Golden Way & The Grove Way, Shop 20a, Golden Grove Village Shopping Centre, Golden Grove SA 5125, Australia",Golden Grove,2,Juice Bar,Food,Juice Bar,,,,40184101000,40511,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Golden Grove SA 5125, Australia",5125,-34.7838889,138.7061111,10237.0,42,"1,519","3,763"
1624,53279c66498e4670bd62286a,Salsa's Fresh Mex Grill,-34.831535010939305,138.6903831195064,4bf58dd8d48988d1c1941735,"Westfield Tea Tree Plaza, 47/976 North East Road, Modbury SA 5092, Australia",Modbury,2,Mexican Restaurant,Food,Mexican Restaurant,,,,40188841000,40891,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Modbury SA 5092, Australia",5092,-34.833333,138.683333,5244.0,37,"1,084","2,047"
1634,57f9ca35498e19f145318cec,Mexican Fiesta,-34.79505,138.72177,4bf58dd8d48988d1c1941735,"489 Yatala Vale Rd, Fairview Park SA 5126, Australia",Fairview Park,2,Mexican Restaurant,Food,Mexican Restaurant,,,,40184140000,40424,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Fairview Park SA 5126, Australia",5126,-34.7999009,138.7316925,3600.0,40,"1,525","1,319"
1635,4ec4bd9f77c8d69510ec71f6,Sumo Salad,-34.83157012410136,138.6906476846849,4bf58dd8d48988d1bd941735,"Kiosk 18 Westfield Tea Tree Plaza, 976 North East Road, Modbury SA 5092, Australia",Modbury,2,Salad Place,Food,Salad Place,,,,40188841000,40891,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Modbury SA 5092, Australia",5092,-34.833333,138.683333,5244.0,37,"1,084","2,047"
1636,58e06f340aac7577aaeb6a02,#Nourish,-34.87706,138.67276,5293a7563cf9994f4e043a44,"3 Jan St, Newton SA 5074, Australia",Newton,2,Russian Restaurant,Food,Russian Restaurant,,,,40023600000,41020,4,South Australia,40910,Campbelltown (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Newton SA 5074, Australia",5074,-34.880165,138.6815087,4788.0,41,"1,267","1,827"
1647,4ef1ac0e29c2e7e6d18f24f3,Barnacle Bill,-34.78894208275551,138.69621364282676,4bf58dd8d48988d1ce941735,"1 Aeolian Dr, Golden Grove SA 5125, Australia",Golden Grove,2,Seafood Restaurant,Food,Seafood Restaurant,,,,40184101000,40511,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Golden Grove SA 5125, Australia",5125,-34.7838889,138.7061111,10237.0,42,"1,519","3,763"
1648,5801856238fab67ef3a9fd62,Sue's Seafood,-34.795331168657185,138.72224774017425,4bf58dd8d48988d1ce941735,"22 Vicenzo St, Fairview Park SA 5126, Australia",Fairview Park,2,Seafood Restaurant,Food,Seafood Restaurant,,,,40184140000,40424,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Fairview Park SA 5126, Australia",5126,-34.7999009,138.7316925,3600.0,40,"1,525","1,319"
1652,4babfbe1f964a52096db3ae3,Charlesworth Nuts,-34.83251122289266,138.6836959162481,4bf58dd8d48988d1c7941735,"933 North East Road, Modbury SA 5092, Australia",Modbury,2,Snack Place,Food,Snack Place,,,,40188841000,40891,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Modbury SA 5092, Australia",5092,-34.833333,138.683333,5244.0,37,"1,084","2,047"
1653,54273f34498ef72d774f831f,KC Snack Bar,-34.83651351928711,138.67970275878906,4bf58dd8d48988d1c7941735,"840 A10, Modbury SA 5092, Australia",Modbury,2,Snack Place,Food,Snack Place,,,,40188841000,40891,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Modbury SA 5092, Australia",5092,-34.833333,138.683333,5244.0,37,"1,084","2,047"
1663,4c4cf681f5afa59365d6c6d6,Spud shop,-34.8097,138.689451,4bf58dd8d48988d1c7941735,"10 Noritake Rd, Modbury Heights SA 5092, Australia",Modbury Heights,2,Snack Place,Food,Snack Place,,,,40180980000,40892,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Modbury Heights SA 5092, Australia",5092,-34.811,138.686,6699.0,40,"1,379","2,506"
1667,4cdce6eacea2224b03358e4c,Athelstone Football Club,-34.868421989021975,138.6919130250363,4bf58dd8d48988d11d941735,"150 George St, Paradise SA 5075, Australia",Paradise,3,Sports Bar,Nightlife Spot,Bar,Sports Bar,,,40023650000,41090,4,South Australia,40910,Campbelltown (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Paradise SA 5075, Australia",5075,-34.872,138.676,6776.0,43,"1,192","2,582"
1668,4de0bf0c22713271e2bb8f36,Black Ops HQ,-34.8457599,138.7002223,4bf58dd8d48988d11d941735,"15 Tyner Ct, Hope Valley SA 5090, Australia",Hope Valley,3,Sports Bar,Nightlife Spot,Bar,Sports Bar,,,40188900000,40601,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Hope Valley SA 5090, Australia",5090,-34.843,138.702,7887.0,47,"1,081","3,120"
1671,5618afb6498ee62a45638a9c,Bar 345,-34.80188533558716,138.71742914519444,4bf58dd8d48988d11d941735,"337 Hancock Rd, Fairview Park SA 5126, Australia",Fairview Park,3,Sports Bar,Nightlife Spot,Bar,Sports Bar,,,40184140000,40424,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Fairview Park SA 5126, Australia",5126,-34.7999009,138.7316925,3600.0,40,"1,525","1,319"
1672,52bbf057498e62524c1f2f75,Janies,-34.86597609842275,138.70014836527164,4bf58dd8d48988d121941735,"18 Springfield Ave, Athelstone SA 5076, Australia",Athelstone,2,Lounge,Nightlife Spot,Lounge,,,,40023510000,40048,4,South Australia,40910,Campbelltown (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Athelstone SA 5076, Australia",5076,-34.87,138.703,9149.0,43,"1,634","3,327"
1673,56db28f5cd10848ede59b1ae,in the pool,-34.904407,138.661961,4bf58dd8d48988d121941735,"Unit 6/20 Freeman Ave, Tranmere SA 5073, Australia",Tranmere,2,Lounge,Nightlife Spot,Lounge,,,,40027202000,41455,4,South Australia,40910,Campbelltown (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Tranmere SA 5073, Australia",5073,-34.905,138.662,3757.0,39,"1,425","1,433"
1674,4e905027cc2127f5da7e42a1,Alice's Free House,-34.907161,138.661645,4bf58dd8d48988d121941735,"28A Milton Ave, Tranmere SA 5073, Australia",Tranmere,2,Lounge,Nightlife Spot,Lounge,,,,40027202000,41455,4,South Australia,40910,Campbelltown (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Tranmere SA 5073, Australia",5073,-34.905,138.662,3757.0,39,"1,425","1,433"
1680,50cd87e1e4b0d4bd1b9fa30a,Modbury Carols By Candlelight,-34.8203010559082,138.68968200683594,4bf58dd8d48988d120941735,"12 Warrandee Dr, Modbury North SA 5092, Australia",Modbury North,3,Karaoke Bar,Nightlife Spot,Bar,Karaoke Bar,,,40180970000,40893,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Modbury North SA 5092, Australia",5092,-34.829,138.672,5626.0,39,"1,385","2,049"
1683,4cc557b206c25481a2cd9b47,Tarcowie Street,-34.79534573903856,138.72218981323488,4bf58dd8d48988d120941735,"22 Vicenzo St, Fairview Park SA 5126, Australia",Fairview Park,3,Karaoke Bar,Nightlife Spot,Bar,Karaoke Bar,,,40184140000,40424,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Fairview Park SA 5126, Australia",5126,-34.7999009,138.7316925,3600.0,40,"1,525","1,319"
1690,4bb6ede32f70c9b6f9298630,Sferas,-34.82862418897649,138.6883898223257,4bf58dd8d48988d11a941735,"191 Reservoir Rd, Modbury SA 5092, Australia",Modbury,2,Other Nightlife,Nightlife Spot,Other Nightlife,,,,40188841000,40891,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Modbury SA 5092, Australia",5092,-34.833333,138.683333,5244.0,37,"1,084","2,047"
1691,4ca700da14c337048b3fc53b,Reid Ave Hall,-34.897228128348935,138.66235122081022,4bf58dd8d48988d11a941735,"45-47 Reid Ave, Hectorville SA 5073, Australia",Hectorville,2,Other Nightlife,Nightlife Spot,Other Nightlife,,,,40027190000,40576,4,South Australia,40910,Campbelltown (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Hectorville SA 5073, Australia",5073,-34.8929224,138.6652086,3738.0,40,"1,043","1,554"
1699,50e17ea8e4b0471657f84f00,Uzcategui Montenegro New Year,-34.871,138.673325,4bf58dd8d48988d11e941735,"Unit 3/718 Lower North East Rd, Paradise SA 5075, Australia",Paradise,3,Cocktail Bar,Nightlife Spot,Bar,Cocktail Bar,,,40023650000,41090,4,South Australia,40910,Campbelltown (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Paradise SA 5075, Australia",5075,-34.872,138.676,6776.0,43,"1,192","2,582"
1707,5123d288e4b05424267d02aa,Shed Party,-34.79998415075228,138.69796781858128,4bf58dd8d48988d11e941735,"4 Shelduck Ct, Wynn Vale SA 5127, Australia",Wynn Vale,3,Cocktail Bar,Nightlife Spot,Bar,Cocktail Bar,,,40185510000,41648,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Wynn Vale SA 5127, Australia",5127,-34.802,138.69,7756.0,41,"1,490","2,947"
1708,5802269e38fa1d7134b579e2,Scott's Backroom Bar,-34.795332860168266,138.72226045512753,4bf58dd8d48988d11e941735,"22 Vicenzo St, Fairview Park SA 5126, Australia",Fairview Park,3,Cocktail Bar,Nightlife Spot,Bar,Cocktail Bar,,,40184140000,40424,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Fairview Park SA 5126, Australia",5126,-34.7999009,138.7316925,3600.0,40,"1,525","1,319"
1716,4f30b6e1e4b0e6be3a633e05,the village square gazebo,-34.795504132572525,138.70151063765263,4bf58dd8d48988d119941735,"Unit 9/7 Wentworth Ct, Golden Grove SA 5125, Australia",Golden Grove,3,Hookah Bar,Nightlife Spot,Bar,Hookah Bar,,,40184101000,40511,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Golden Grove SA 5125, Australia",5125,-34.7838889,138.7061111,10237.0,42,"1,519","3,763"
