,MeshBlockCode,CityCode,City,StateCode,State,LgaCode,LgaName,Key,LgaGroup,VenueCount,EgmCount,TotalNgr,TotalNgrPerAdult,MachinesPer1000Adult,AvgNgrPerMachine,AggregateNgrPerLgaStr,AverageNgrPerVenueStr,TotalNgrPerAdultStr,AvgNgrPerMachineStr,RankTotalNgr,RankTotalNgrPerAdult,RankEgmsPer1000Adult,RankAvgNgrPerMachine,Address,PostalCode,Latitude,Longitude,People,MedianAge,HouseholdIncome,Dwellings
10,40184360000,40581,Highbury,4,South Australia,47700,Tea Tree Gully (C),7,"Campbelltown (C), Tea Tree Gully (C)",12,438,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5,27,42,1,"Highbury SA 5089, Australia",5089,-34.854,138.697,6588.0,42,"1,705","2,334"
11,40188900000,40601,Hope Valley,4,South Australia,47700,Tea Tree Gully (C),7,"Campbelltown (C), Tea Tree Gully (C)",12,438,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5,27,42,1,"Hope Valley SA 5090, Australia",5090,-34.843,138.702,7887.0,47,"1,081","3,120"
12,40188841000,40891,Modbury,4,South Australia,47700,Tea Tree Gully (C),7,"Campbelltown (C), Tea Tree Gully (C)",12,438,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5,27,42,1,"Modbury SA 5092, Australia",5092,-34.833333,138.683333,5244.0,37,"1,084","2,047"
13,40180980000,40892,Modbury Heights,4,South Australia,47700,Tea Tree Gully (C),7,"Campbelltown (C), Tea Tree Gully (C)",12,438,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5,27,42,1,"Modbury Heights SA 5092, Australia",5092,-34.811,138.686,6699.0,40,"1,379","2,506"
14,40180970000,40893,Modbury North,4,South Australia,47700,Tea Tree Gully (C),7,"Campbelltown (C), Tea Tree Gully (C)",12,438,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5,27,42,1,"Modbury North SA 5092, Australia",5092,-34.829,138.672,5626.0,39,"1,385","2,049"
15,40181350000,41229,Redwood Park,4,South Australia,47700,Tea Tree Gully (C),7,"Campbelltown (C), Tea Tree Gully (C)",12,438,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5,27,42,1,"Redwood Park SA 5097, Australia",5097,-34.812524,138.706595,5417.0,39,"1,537","1,958"
16,40180990000,41244,Ridgehaven,4,South Australia,47700,Tea Tree Gully (C),7,"Campbelltown (C), Tea Tree Gully (C)",12,438,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5,27,42,1,"Ridgehaven SA 5097, Australia",5097,-34.822,138.704,4008.0,42,"1,112","1,660"
17,40188851000,41353,Saint Agnes,4,South Australia,47700,Tea Tree Gully (C),7,"Campbelltown (C), Tea Tree Gully (C)",12,438,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5,27,42,1,"St Agnes SA 5097, Australia",5097,-34.830278,138.711111,4136.0,44,"1,345","1,564"
18,40181941000,41396,Surrey Downs,4,South Australia,47700,Tea Tree Gully (C),7,"Campbelltown (C), Tea Tree Gully (C)",12,438,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5,27,42,1,"Surrey Downs SA 5126, Australia",5126,-34.801,138.712,3326.0,37,"1,445","1,259"
19,40184060000,41418,Tea Tree Gully,4,South Australia,47700,Tea Tree Gully (C),7,"Campbelltown (C), Tea Tree Gully (C)",12,438,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5,27,42,1,"Tea Tree Gully SA 5091, Australia",5091,-34.826,138.726,3244.0,43,"1,389","1,260"
20,40184240000,41492,Vista,4,South Australia,47700,Tea Tree Gully (C),7,"Campbelltown (C), Tea Tree Gully (C)",12,438,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5,27,42,1,"Vista SA 5091, Australia",5091,-34.8349569,138.7304374,971.0,44,"1,448",367
21,40185510000,41648,Wynn Vale,4,South Australia,47700,Tea Tree Gully (C),7,"Campbelltown (C), Tea Tree Gully (C)",12,438,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5,27,42,1,"Wynn Vale SA 5127, Australia",5127,-34.802,138.69,7756.0,41,"1,490","2,947"
22,40184120000,41664,Yatala Vale,4,South Australia,47700,Tea Tree Gully (C),7,"Campbelltown (C), Tea Tree Gully (C)",12,438,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5,27,42,1,"Yatala Vale SA 5126, Australia",5126,-34.7948475,138.7417347,252.0,46,"1,764",79
